Date,SPY,IWM,TLT,GLD,EEM,DBC
2021-08-13,207.7869873046875,416.7705078125,166.38999938964844,45.99349212646485,16.59353256225586,124.84881591796876
2021-08-16,205.8513336181641,417.7518615722656,167.22000122070312,45.57560348510742,16.55002212524414,125.1514129638672
2021-08-17,203.34239196777344,415.0134887695313,166.97000122070312,44.73984146118164,16.36729621887207,125.10100555419922
2021-08-18,201.5664825439453,410.47113037109375,167.10000610351562,44.81098175048828,16.175865173339844,125.52120208740234
2021-08-19,199.1515350341797,411.1066589355469,166.61000061035156,44.04634094238281,15.949627876281738,126.44568634033205
2021-08-20,202.51551818847656,414.37786865234375,166.6999969482422,44.01078414916992,15.575471878051758,126.52983856201172
2021-08-23,206.36810302734372,418.02288818359375,168.72999572753906,44.6776123046875,16.14105987548828,126.44568634033205
2021-08-24,208.39776611328125,418.6865539550781,168.64999389648438,45.691192626953125,16.48041343688965,125.46237182617188
2021-08-25,209.13070678710935,419.5651245117188,167.47999572753906,45.74454116821289,16.628337860107422,124.4201889038086
2021-08-26,206.91311645507807,417.08831787109375,167.6699981689453,45.30887985229492,16.49781608581543,124.7647476196289
2021-08-27,212.74839782714844,420.8174133300781,170.19000244140625,45.86901473999024,16.706649780273438,125.61366271972656
2021-08-30,211.87452697753903,422.6680603027344,169.35000610351562,45.96681594848633,16.767559051513672,125.94144439697266
2021-08-31,212.2879638671875,422.0418090820313,169.69000244140625,46.59808349609375,16.689247131347656,125.08417510986328
2021-09-01,213.7162628173828,422.2661743164063,169.6999969482422,47.19378280639648,16.610933303833008,125.2937240600586
2021-09-02,215.20089721679688,423.5652770996094,169.25,46.98039245605469,16.802364349365234,125.84070587158205
2021-09-03,214.2048797607422,423.4624633789063,171.05999755859375,47.22934722900391,16.819766998291016,124.69625854492188
2021-09-07,212.7295837402344,421.9483337402344,167.7100067138672,47.50497817993164,16.628337860107422,123.64432525634766
2021-09-08,210.40863037109372,421.4343566894531,167.2899932861328,46.811466217041016,16.75015640258789,124.48580932617188
2021-09-09,210.3052673339844,419.6305236816406,168.02999877929688,46.72256088256836,16.628337860107422,125.99214935302734
2021-09-10,208.2473907470703,416.3219299316406,167.17999267578125,46.66921615600586,16.845870971679688,124.88135528564452
2021-09-13,209.43142700195312,417.3873291015625,167.74000549316406,46.79368591308594,16.976390838623047,125.63868713378906
2021-09-14,206.76272583007807,415.1349487304688,168.82000732421875,46.40248489379883,16.96769142150879,127.16189575195312
2021-09-15,208.6326904296875,418.6024475097656,167.8300018310547,46.39358901977539,17.246131896972656,126.71588897705078
2021-09-16,208.78302001953125,417.9388427734375,164.02999877929688,45.86901473999024,17.12431526184082,126.1352310180664
2021-09-17,209.05555725097656,413.86767578125,163.77000427246094,45.67340850830078,16.985092163085938,125.52931213378906
2021-09-20,204.084716796875,406.9667053222656,164.94000244140625,44.44644546508789,16.784961700439453,127.0860824584961
2021-09-21,204.39483642578125,406.5823974609375,166.0399932861328,44.77540969848633,16.802364349365234,126.9767074584961
2021-09-22,207.5708770751953,410.5484008789063,165.4199981689453,45.33555221557617,16.99379539489746,127.73411560058594
2021-09-23,211.24496459960935,415.5366516113281,163.50999450683594,45.691192626953125,17.254837036132812,124.84764862060548
2021-09-24,210.22610473632807,416.2210693359375,163.3000030517578,45.14884185791016,17.333148956298828,123.62750244140624
2021-09-27,213.42120361328125,415.03033447265625,163.63999938964844,45.44224548339844,17.568086624145508,123.17304229736328
2021-09-28,208.5672912597656,406.6666564941406,162.0500030517578,44.85544204711914,17.428863525390625,121.25440979003906
2021-09-29,208.1242828369141,407.3511962890625,161.32000732421875,44.43755340576172,17.446266174316406,121.46479034423828
2021-09-30,206.1732940673828,402.3724670410156,164.22000122070312,44.7932014465332,17.559383392333984,121.4479751586914
2021-10-01,209.5003204345703,407.1542663574219,164.58999633789062,44.74873733520508,17.794321060180664,122.47004699707033
2021-10-04,207.5965118408203,401.9035949707031,165.36000061035156,44.0908088684082,18.08146858215332,122.15824127197266
2021-10-05,208.31277465820312,406.08544921875,164.58999633789062,44.4019889831543,18.30770301818848,120.97868347167967
2021-10-06,207.22889709472656,407.7731323242188,165.02999877929688,44.15303802490234,18.00315284729004,121.66112518310548
2021-10-07,210.4239959716797,411.2986145019531,164.16000366210938,45.01547622680664,18.22939109802246,120.38883972167967
2021-10-08,208.84060668945312,410.5484008789063,164.22999572753906,45.18440628051758,18.29030036926269,119.54627227783205
2021-10-11,207.64366149902344,407.576171875,163.9199981689453,45.09549331665039,18.412118911743164,119.24295043945312
2021-10-12,208.7840576171875,406.5729370117188,164.66000366210938,44.86432266235352,18.412118911743164,121.28197479248048
2021-10-13,209.7736968994141,408.0356750488281,167.58999633789062,45.486698150634766,18.516536712646484,122.46156311035156
